colname,value22
cv_i,-15.99517734
cv_i_NJ,-15.99517734
cv_i_pr_NJ,-20.06836839
cv_i_fh_NJ,-18.60248062
cv_i_shore_NJ,-11.13653818
cv_sum,-3737204712
cv_sum_shore,-1177294896
cv_sum_pr,-2465258072
cv_sum_fh,-94651744.59
cv_sum_NJ,-3737204712
cv_sum_shore_NJ,-1177294896
cv_sum_pr_NJ,-2465258072
cv_sum_fh_NJ,-94651744.59
sf_keep_i,0.472023104
sf_keep_i_pr,0.590956406
sf_keep_i_fh,0.602285086
sf_keep_i_shore,0.327550089
sf_keep_i_NJ,0.472023104
sf_keep_i_pr_NJ,0.590956406
sf_keep_i_fh_NJ,0.602285086
sf_keep_i_shore_NJ,0.327550089
sf_keep_sum,110286177.6
sf_keep_sum_pr,72594842.91
sf_keep_sum_fh,3064501.735
sf_keep_sum_shore,0.327550089
sf_keep_sum_NJ,110286177.6
sf_keep_sum_pr_NJ,72594842.91
sf_keep_sum_fh_NJ,3064501.735
sf_keep_sum_shore_NJ,34626832.99
bsb_keep_i,0.450494093
bsb_keep_i_pr,0.732741906
bsb_keep_i_fh,0.478795836
bsb_keep_i_shore,0.121153044
bsb_keep_i_NJ,0.450494093
bsb_keep_i_pr_NJ,0.732741906
bsb_keep_i_fh_NJ,0.478795836
bsb_keep_i_shore_NJ,0.121153044
bsb_keep_sum,105256016.4
bsb_keep_sum_pr,90012195.44
bsb_keep_sum_fh,2436173.008
bsb_keep_sum_shore,0.121153044
bsb_keep_sum_NJ,105256016.4
bsb_keep_sum_pr_NJ,90012195.44
bsb_keep_sum_fh_NJ,2436173.008
bsb_keep_sum_shore_NJ,12807647.92
ntrips_sum,164492912.7
ntrips_sum_pr,85156342.53
ntrips_sum_fh,3490764.7
ntrips_sum_shore,75845805.51
ntrips_sum_NJ,164492912.7
ntrips_sum_pr_NJ,85156342.53
ntrips_sum_fh_NJ,3490764.7
ntrips_sum_shore_NJ,75845805.51
seed_NJ,32190
calib_sf_keep_sum_NJ,39010245.03
calib_sf_rel_sum_NJ,368017696
calib_bsb_keep_sum_NJ,24663955.12
calib_bsb_rel_sum_NJ,339636714
n_choice_occasions_NJ,233645719.1
n_choice_occasions_sum,233645719.1
draw,1
