,Category,mode,keep_release,param,number_weight,StatusQuo,state
1,CV,NA,NA,NA,NA,-51655762.54,NJ
2,ntrips,NA,NA,NA,NA,5370384.218,NJ
3,CV,fh,NA,NA,NA,-1363933.68,NJ
4,ntrips,fh,NA,NA,NA,113602.5766,NJ
5,CV,pr,NA,NA,NA,-33551185.61,NJ
6,ntrips,pr,NA,NA,NA,2746187.154,NJ
7,CV,sh,NA,NA,NA,-16740643.25,NJ
8,ntrips,sh,NA,NA,NA,2510594.488,NJ
9,bsb,fh,keep,Total,Number,57460.3703,NJ
10,bsb,fh,keep,Total,Weight,59720.87105,NJ
11,bsb,fh,release,Total,Number,460472.4986,NJ
12,bsb,fh,release,Total,Weight,198863.7898,NJ
13,bsb,fh,release,Mortality,Weight,29829.56847,NJ
14,bsb,fh,release,Mortality,Number,69070.87479,NJ
15,bsb,pr,keep,Total,Number,1288904.534,NJ
16,bsb,pr,keep,Total,Weight,1336911.164,NJ
17,bsb,pr,release,Total,Number,8340192.317,NJ
18,bsb,pr,release,Total,Weight,3462036.526,NJ
19,bsb,pr,release,Mortality,Weight,519305.4789,NJ
20,bsb,pr,release,Mortality,Number,1251028.848,NJ
21,bsb,sh,keep,Total,Number,14048.81517,NJ
22,bsb,sh,keep,Total,Weight,11890.07495,NJ
23,bsb,sh,release,Total,Number,1324358.278,NJ
24,bsb,sh,release,Total,Weight,652442.8542,NJ
25,bsb,sh,release,Mortality,Weight,97866.42813,NJ
26,bsb,sh,release,Mortality,Number,198653.7417,NJ
27,scup,fh,keep,Total,Number,48330.88279,NJ
28,scup,fh,keep,Total,Weight,49773.8565,NJ
29,scup,fh,release,Total,Number,73669.79264,NJ
30,scup,fh,release,Total,Weight,18899.65158,NJ
31,scup,fh,release,Mortality,Weight,2834.947737,NJ
32,scup,fh,release,Mortality,Number,11050.4689,NJ
33,scup,pr,keep,Total,Number,94595.83423,NJ
34,scup,pr,keep,Total,Weight,97577.03641,NJ
35,scup,pr,release,Total,Number,134820.2161,NJ
36,scup,pr,release,Total,Weight,34359.01358,NJ
37,scup,pr,release,Mortality,Weight,5153.852037,NJ
38,scup,pr,release,Mortality,Number,20223.03241,NJ
39,scup,sh,keep,Total,Number,0,NJ
40,scup,sh,keep,Total,Weight,0,NJ
41,scup,sh,release,Total,Number,0,NJ
42,scup,sh,release,Total,Weight,0,NJ
43,scup,sh,release,Mortality,Weight,0,NJ
44,scup,sh,release,Mortality,Number,0,NJ
45,sf,fh,keep,Total,Number,32487.09046,NJ
46,sf,fh,keep,Total,Weight,47066.82482,NJ
47,sf,fh,release,Total,Number,191810.3235,NJ
48,sf,fh,release,Total,Weight,123048.001,NJ
49,sf,fh,release,Mortality,Weight,12304.8001,NJ
50,sf,fh,release,Mortality,Number,19181.03235,NJ
51,sf,pr,keep,Total,Number,1162502.875,NJ
52,sf,pr,keep,Total,Weight,1677059.638,NJ
53,sf,pr,release,Total,Number,7573642.796,NJ
54,sf,pr,release,Total,Weight,4881357.38,NJ
55,sf,pr,release,Mortality,Weight,488135.738,NJ
56,sf,pr,release,Mortality,Number,757364.2796,NJ
57,sf,sh,keep,Total,Number,248913.2739,NJ
58,sf,sh,keep,Total,Weight,351605.6725,NJ
59,sf,sh,release,Total,Number,3657692.916,NJ
60,sf,sh,release,Total,Weight,2574411.496,NJ
61,sf,sh,release,Mortality,Weight,257441.1496,NJ
62,sf,sh,release,Mortality,Number,365769.2916,NJ
63,bsb,NA,keep,Total,Number,1360413.72,NJ
64,bsb,NA,keep,Total,Weight,1408522.11,NJ
65,bsb,NA,release,Total,Number,10125023.09,NJ
66,bsb,NA,release,Total,Weight,4313343.17,NJ
67,scup,NA,keep,Total,Number,142926.717,NJ
68,scup,NA,keep,Total,Weight,147350.8929,NJ
69,scup,NA,release,Total,Number,208490.0087,NJ
70,scup,NA,release,Total,Weight,53258.66516,NJ
71,sf,NA,keep,Total,Number,1443903.239,NJ
72,sf,NA,keep,Total,Weight,2075732.136,NJ
73,sf,NA,release,Total,Number,11423146.04,NJ
74,sf,NA,release,Total,Weight,7578816.878,NJ
