state,mode,sf_harvest,sf_releases,sf_tot_cat,bsb_harvest,bsb_releases,bsb_tot_cat,scup_harvest,scup_releases,scup_tot_cat
CT,fh,624.69604,2795.6802,3420.3762,39548.301,96124.578,135672.89,153941.08,68723.57,222664.64
CT,pr,73166.852,665548.75,738715.63,335915.28,2905839.5,3241754.8,1298720.8,2399805.8,3698526.5
CT,sh,85001.602,97862.719,182864.31,0,175559.73,175559.73,447226,970205.5,1417431.5
DE,fh,6024.7329,11342.811,17367.543,12443.561,26623.334,39066.895,17.309246,6.9553308,24.264578
DE,pr,83620.016,321582.13,405202.16,186895.95,815120.13,1002016.1,1633.4491,6102.0444,7735.4932
DE,sh,3875.8098,125380.84,129256.65,0,72608.102,72608.102,0,0,0
MA,fh,2332.4543,5842.0386,8174.4932,20974.006,155711.97,176685.97,526548.69,188366.14,714914.81
MA,pr,85680.891,321391.75,407072.63,365223.84,2500956,2866180,669591.94,1206535.6,1876127.6
MA,sh,0,0,0,0,966316.69,966316.69,1014878.8,1289323.5,2304202.3
MD,fh,3522.4092,13872.047,17394.457,36913.766,76285.906,113199.68,49.046547,23.301392,72.347939
MD,pr,79102.336,305616.44,384718.78,121908.45,563929.94,685838.38,1622.4003,0,1622.4003
MD,sh,3405.8997,333892.44,337298.34,0,432323.09,432323.09,0,0,0
NC,fh,712.93903,0,712.93903,9396.2217,22599.551,31995.771,1480.2208,67.288811,1547.5096
NC,pr,9877.6641,0,9877.6641,119683.51,2916920.3,3036603.8,1680.4525,2669.8682,4350.3208
NC,sh,0,128.40251,128.40251,22787.465,1736032.9,1758820.4,0,0,0
NJ,fh,46998.348,206151.17,253149.53,88288.742,470349.47,558638.25,64830.234,60404.098,125234.34
NJ,pr,1275849.3,8115637.5,9391487,1391468.1,8539736,9931204,140581.89,139994.23,280576.13
NJ,sh,245954.59,3638864.5,3884819,0,1580104,1580104,0,0,0
NY,fh,57822.441,277733.41,335555.84,150321.41,506900.5,657221.88,620518.06,232101.64,852619.69
NY,pr,752274.13,7665069,8417343,1144628,8733598,9878226,8861402,8285078,17146480
NY,sh,76268.305,1707740.8,1784009,6034.1646,1336180,1342214.3,942434.5,1048360.7,1990795.1
RI,fh,10844.692,13701.813,24546.504,21502.281,92848.141,114350.42,17576.369,15242.637,32819.008
RI,pr,86904.906,288756.97,375661.88,263855.5,2419131.5,2682987,974129.81,1322562.9,2296692.8
RI,sh,47.680771,17233.496,17281.176,4347.9951,418251.06,422599.06,1973456.5,1066704.6,3040161
VA,fh,1520.2773,150.10002,1670.3774,21655.412,37087.105,58742.52,0,36.248634,36.248634
VA,pr,280817.81,787013.44,1067831.3,320968.56,1644837,1965805.5,0,2992.1462,2992.1462
VA,sh,103221.59,712546.56,815768.13,0,837412.38,837412.38,0,0,0
