likely_to_fish,fish_pref_more,id
1,1,1
1,0,2
1,1,3
1,0,4
0,1,5
1,0,6
1,1,7
0,0,8
1,1,9
1,1,10
1,1,11
1,0,12
0,1,13
1,1,14
0,1,15
1,1,16
0,1,17
1,1,18
1,0,19
1,0,20
0,0,21
0,0,22
0,0,23
1,1,24
1,0,25
1,0,26
1,1,27
1,0,28
1,1,29
0,0,30
1,0,31
1,1,32
1,0,33
1,1,34
1,0,35
1,0,36
1,0,37
1,0,38
1,0,39
1,1,40
0,0,41
1,0,42
1,1,43
1,1,44
1,1,45
0,1,46
0,0,47
1,0,48
1,1,49
1,0,50
1,1,51
1,0,52
1,0,53
1,1,54
1,0,55
1,1,56
1,1,57
1,1,58
1,0,59
1,0,60
1,0,61
1,0,62
0,1,63
1,0,64
0,0,65
1,1,66
0,0,67
1,1,68
1,0,69
0,0,70
1,0,71
1,1,72
0,0,73
1,1,74
1,1,75
1,0,76
0,1,77
0,1,78
1,1,79
1,1,80
0,0,81
1,1,82
1,0,83
1,1,84
1,0,85
1,0,86
0,1,87
1,0,88
1,1,89
1,1,90
1,1,91
0,0,92
1,0,93
1,1,94
1,0,95
1,1,96
1,1,97
1,1,98
1,0,99
1,1,100
1,1,101
0,1,102
1,1,103
1,0,104
1,1,105
1,1,106
1,0,107
1,0,108
1,1,109
0,1,110
1,1,111
1,1,112
1,0,113
1,1,114
0,1,115
1,0,116
1,1,117
1,0,118
0,0,119
1,1,120
1,1,121
1,0,122
1,1,123
0,0,124
1,0,125
1,1,126
0,0,127
0,1,128
1,1,129
1,1,130
1,1,131
1,0,132
1,1,133
1,1,134
1,1,135
0,0,136
0,0,137
1,0,138
1,1,139
1,1,140
0,0,141
0,1,142
1,1,143
1,1,144
1,1,145
0,0,146
1,0,147
1,1,148
1,0,149
1,1,150
0,0,151
1,0,152
1,0,153
1,1,154
0,1,155
1,1,156
1,0,157
1,1,158
1,1,159
1,1,160
0,1,161
0,1,162
1,1,163
1,1,164
0,1,165
1,1,166
1,1,167
1,1,168
1,1,169
1,0,170
1,1,171
1,0,172
1,0,173
0,1,174
0,0,175
0,1,176
1,1,177
1,1,178
0,0,179
1,1,180
1,0,181
1,1,182
1,0,183
1,1,184
1,0,185
1,1,186
1,0,187
1,0,188
1,0,189
1,0,190
1,0,191
1,0,192
1,0,193
1,1,194
0,1,195
1,0,196
1,0,197
1,0,198
1,1,199
1,1,200
1,0,201
1,1,202
1,1,203
1,1,204
1,1,205
1,1,206
0,0,207
1,1,208
0,0,209
0,1,210
1,0,211
1,1,212
1,0,213
0,0,214
1,1,215
1,1,216
1,0,217
0,1,218
0,0,219
1,1,220
0,0,221
1,1,222
1,1,223
1,1,224
1,1,225
1,0,226
0,0,227
1,1,228
0,0,229
1,1,230
1,0,231
1,1,232
1,1,233
1,1,234
1,1,235
1,0,236
0,0,237
1,1,238
1,0,239
1,1,240
1,0,241
1,1,242
1,1,243
1,1,244
1,1,245
1,1,246
1,1,247
1,1,248
0,1,249
0,0,250
1,0,251
0,1,252
1,1,253
1,1,254
1,0,255
1,1,256
0,0,257
0,1,258
1,1,259
0,0,260
1,0,261
1,0,262
1,0,263
1,1,264
1,0,265
1,0,266
0,1,267
1,0,268
1,0,269
1,1,270
1,1,271
1,1,272
0,1,273
1,1,274
0,0,275
0,0,276
1,0,277
1,1,278
1,1,279
1,1,280
0,1,281
1,1,282
1,1,283
0,0,284
1,1,285
1,1,286
1,0,287
1,0,288
1,1,289
1,1,290
0,0,291
0,1,292
1,1,293
1,0,294
0,0,295
1,0,296
1,1,297
1,1,298
1,1,299
1,0,300
1,1,301
0,0,302
0,0,303
1,1,304
0,0,305
1,1,306
1,1,307
1,1,308
1,1,309
0,0,310
0,0,311
1,1,312
1,1,313
1,0,314
1,0,315
1,1,316
1,0,317
1,1,318
1,1,319
1,0,320
1,1,321
0,1,322
1,0,323
0,0,324
1,0,325
1,1,326
1,1,327
1,1,328
0,0,329
1,0,330
1,1,331
0,0,332
1,0,333
0,1,334
1,1,335
1,1,336
1,1,337
1,0,338
1,1,339
1,1,340
1,1,341
1,0,342
1,0,343
1,1,344
0,0,345
0,1,346
1,1,347
1,1,348
1,1,349
1,1,350
1,0,351
0,1,352
1,1,353
0,0,354
1,0,355
1,1,356
1,0,357
1,1,358
1,1,359
1,0,360
1,1,361
0,0,362
1,1,363
1,1,364
0,0,365
1,1,366
1,0,367
0,0,368
1,1,369
1,0,370
1,0,371
1,0,372
1,0,373
0,0,374
1,0,375
0,0,376
1,1,377
1,1,378
1,0,379
1,1,380
1,0,381
1,1,382
0,1,383
1,0,384
0,0,385
1,0,386
1,0,387
0,0,388
1,0,389
0,0,390
1,1,391
0,0,392
1,0,393
1,0,394
1,1,395
1,0,396
0,1,397
1,1,398
1,0,399
1,0,400
0,1,401
1,0,402
1,0,403
1,1,404
1,1,405
1,0,406
1,0,407
1,1,408
0,1,409
1,1,410
1,0,411
0,1,412
1,0,413
1,1,414
1,1,415
1,0,416
1,0,417
1,1,418
1,1,419
1,1,420
1,0,421
1,0,422
1,1,423
1,0,424
0,0,425
1,1,426
1,0,427
1,1,428
1,0,429
1,1,430
1,1,431
1,1,432
1,0,433
1,1,434
0,1,435
0,0,436
1,0,437
1,1,438
1,1,439
1,0,440
1,0,441
0,1,442
0,1,443
1,1,444
1,1,445
1,1,446
1,1,447
0,1,448
