,colname,StatusQuo
1,bsb_keep_i,0.101200009
2,bsb_keep_i_NJ,0.101200009
3,bsb_keep_i_fh,0.116833211
4,bsb_keep_i_fh_NJ,0.116833211
5,bsb_keep_i_pr,0.164676285
6,bsb_keep_i_pr_NJ,0.164676285
7,bsb_keep_i_shore,0.027044675
8,bsb_keep_i_shore_NJ,0.027044675
9,bsb_keep_sum,22015744.74
10,bsb_keep_sum_NJ,22015744.74
11,bsb_keep_sum_fh,633729.3425
12,bsb_keep_sum_fh_NJ,633729.3425
13,bsb_keep_sum_pr,18752713.48
14,bsb_keep_sum_pr_NJ,18752713.48
15,bsb_keep_sum_shore,2629301.925
16,bsb_keep_sum_shore_NJ,2629301.925
17,calib_bsb_keep_sum_NJ,21272550.9
18,calib_bsb_rel_sum_NJ,311052993.1
19,calib_sf_keep_sum_NJ,37006900.11
20,calib_sf_rel_sum_NJ,347195979.1
21,cv_i,-5.011474138
22,cv_i_NJ,-5.011474138
23,cv_i_fh_NJ,-6.429705246
24,cv_i_pr_NJ,-6.241873237
25,cv_i_shore_NJ,-3.498648236
26,cv_sum,-1086187319
27,cv_sum_NJ,-1086187319
28,cv_sum_fh,-34736630.13
29,cv_sum_fh_NJ,-34736630.13
30,cv_sum_pr,-710349709
31,cv_sum_pr_NJ,-710349709
32,cv_sum_shore,-341100979.9
33,cv_sum_shore_NJ,-341100979.9
34,draw,2
35,n_choice_occasions_NJ,216965186.8
36,n_choice_occasions_sum,216965186.8
37,ntrips_sum,149363530.6
38,ntrips_sum_NJ,149363530.6
39,ntrips_sum_fh,3616335.316
40,ntrips_sum_fh_NJ,3616335.316
41,ntrips_sum_pr,75971563.15
42,ntrips_sum_pr_NJ,75971563.15
43,ntrips_sum_shore,69775632.1
44,ntrips_sum_shore_NJ,69775632.1
45,seed_NJ,190
46,sf_keep_i,0.349723144
47,sf_keep_i_NJ,0.349723144
48,sf_keep_i_fh,0.471348314
49,sf_keep_i_fh_NJ,0.471348314
50,sf_keep_i_pr,0.44948303
51,sf_keep_i_pr_NJ,0.44948303
52,sf_keep_i_shore,0.226306408
53,sf_keep_i_shore_NJ,0.226306408
54,sf_keep_sum,75801014.43
55,sf_keep_sum_NJ,75801014.43
56,sf_keep_sum_fh,2554819.827
57,sf_keep_sum_fh_NJ,2554819.827
58,sf_keep_sum_pr,51155209.88
59,sf_keep_sum_pr_NJ,51155209.88
60,sf_keep_sum_shore,22090984.72
61,sf_keep_sum_shore_NJ,22090984.72
