"","colname","value"
"1","bsb_keep_i",0.101200008962407
"2","bsb_keep_i_NJ",0.101200008962407
"3","bsb_keep_i_fh",0.116833211094966
"4","bsb_keep_i_fh_NJ",0.116833211094966
"5","bsb_keep_i_pr",0.164676284658644
"6","bsb_keep_i_pr_NJ",0.164676284658644
"7","bsb_keep_i_shore",0.0270446745536973
"8","bsb_keep_i_shore_NJ",0.0270446745536973
"9","bsb_keep_sum",22015744.7424302
"10","bsb_keep_sum_NJ",22015744.7424302
"11","bsb_keep_sum_fh",633729.342469563
"12","bsb_keep_sum_fh_NJ",633729.342469563
"13","bsb_keep_sum_pr",18752713.4751906
"14","bsb_keep_sum_pr_NJ",18752713.4751906
"15","bsb_keep_sum_shore",2629301.9247701
"16","bsb_keep_sum_shore_NJ",2629301.9247701
"17","calib_bsb_keep_sum_NJ",21272550.9000708
"18","calib_bsb_rel_sum_NJ",311052993.076459
"19","calib_sf_keep_sum_NJ",37006900.1096751
"20","calib_sf_rel_sum_NJ",347195979.093724
"21","cv_i",-5.01147413800044
"22","cv_i_NJ",-5.01147413800044
"23","cv_i_fh_NJ",-6.42970524573072
"24","cv_i_pr_NJ",-6.24187323718969
"25","cv_i_shore_NJ",-3.49864823594591
"26","cv_sum",-1086187319.0364
"27","cv_sum_NJ",-1086187319.0364
"28","cv_sum_fh",-34736630.1285722
"29","cv_sum_fh_NJ",-34736630.1285722
"30","cv_sum_pr",-710349709.025484
"31","cv_sum_pr_NJ",-710349709.025484
"32","cv_sum_shore",-341100979.88234
"33","cv_sum_shore_NJ",-341100979.88234
"34","draw",2
"35","n_choice_occasions_NJ",216965186.78958
"36","n_choice_occasions_sum",216965186.78958
"37","ntrips_sum",149363530.565636
"38","ntrips_sum_NJ",149363530.565636
"39","ntrips_sum_fh",3616335.31631015
"40","ntrips_sum_fh_NJ",3616335.31631015
"41","ntrips_sum_pr",75971563.1493505
"42","ntrips_sum_pr_NJ",75971563.1493505
"43","ntrips_sum_shore",69775632.0999752
"44","ntrips_sum_shore_NJ",69775632.0999752
"45","seed_NJ",190
"46","sf_keep_i",0.349723143506172
"47","sf_keep_i_NJ",0.349723143506172
"48","sf_keep_i_fh",0.471348313784595
"49","sf_keep_i_fh_NJ",0.471348313784595
"50","sf_keep_i_pr",0.449483030407386
"51","sf_keep_i_pr_NJ",0.449483030407386
"52","sf_keep_i_shore",0.226306407614299
"53","sf_keep_i_shore_NJ",0.226306407614299
"54","sf_keep_sum",75801014.4343318
"55","sf_keep_sum_NJ",75801014.4343318
"56","sf_keep_sum_fh",2554819.82702455
"57","sf_keep_sum_fh_NJ",2554819.82702455
"58","sf_keep_sum_pr",51155209.8831644
"59","sf_keep_sum_pr_NJ",51155209.8831644
"60","sf_keep_sum_shore",22090984.7241428
"61","sf_keep_sum_shore_NJ",22090984.7241428
